Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Justin Walker Jr.","PUR",,34,84,96,13,13,0,0,0,6,6,8,25,0,1,3,4,2,0,0.154761904,"Justin Walker Jr.","sa3044677",
"Dom Johnson","OKST",20,15,13,21,2,2,0,0,0,5,0,3,8,2,0,3,0,1,0,0.153846153,"Dom Johnson","sa3020537",694336
"Mark Armstrong","CP",,10,13,14,2,1,1,0,0,2,1,1,2,0,0,0,0,0,0,0.153846153,"Mark Armstrong","sa3026210",
"Robby Barrientos","ODU",,13,13,19,2,1,1,0,0,2,1,2,3,3,0,1,0,0,0,0.153846153,"Robby Barrientos","sa3026646",
"Devin Boone","MRST",,14,13,16,2,2,0,0,0,3,0,3,6,0,0,0,0,3,0,0.153846153,"Devin Boone","sa3027384",
"Matt Brown-Eiring","STBK",19,13,26,28,4,3,0,0,1,2,3,2,8,0,0,0,0,0,1,0.153846153,"Matt Brown-Eiring","sa3027858",
"Will Cerny","SFA",22,30,39,49,6,4,2,0,0,2,4,7,13,3,0,0,0,0,0,0.153846153,"Will Cerny","sa3028703",
"Wyatt Duncan","WAG",,9,13,19,2,1,1,0,0,2,2,4,9,1,1,0,0,0,0,0.153846153,"Wyatt Duncan","sa3030657",
"Scott Elliott","MRMK",,5,13,14,2,2,0,0,0,1,0,1,6,0,0,0,0,0,0,0.153846153,"Scott Elliott","sa3030888",
"Kace Garner","MSST",,11,13,16,2,1,1,0,0,4,3,3,3,0,0,0,0,0,0,0.153846153,"Kace Garner","sa3031985",
"David Haberman","HALL",,9,13,16,2,2,0,0,0,2,0,2,3,0,0,1,0,0,0,0.153846153,"David Haberman","sa3032919",
"Erick Hernandez","NICH",,11,13,13,2,2,0,0,0,1,2,0,7,0,0,0,0,0,0,0.153846153,"Erick Hernandez","sa3033672",
"Matt Hogan","VAN",21,19,13,13,2,1,1,0,0,4,1,0,2,0,0,0,0,0,0,0.153846153,"Matt Hogan","sa3033930",
"Tom Jurack","ILL",,15,13,15,2,1,1,0,0,1,3,2,5,0,0,0,2,0,0,0.153846153,"Tom Jurack","sa3034997",
"CJ Keckler","MER",,26,39,48,6,5,1,0,0,4,2,4,17,3,1,1,0,0,0,0.153846153,"CJ Keckler","sa3035143",
"Kyle Machado","FGCU",20,18,39,45,6,5,0,0,1,1,3,3,11,2,1,0,2,0,0,0.153846153,"Kyle Machado","sa3036793",
"Mac Moise","FGCU",,9,13,15,2,1,0,0,1,1,1,1,3,1,0,0,0,0,0,0.153846153,"Mac Moise","sa3038216",
"Myles Proctor","LIU",,20,13,23,2,1,1,0,0,9,5,6,4,2,2,0,0,4,1,0.153846153,"Myles Proctor","sa3040235",
"Michael Robinson","SC",,21,26,29,4,4,0,0,0,1,1,2,9,0,0,1,0,0,0,0.153846153,"Michael Robinson","sa3040914",
"Orlando Salinas Jr.","OKST",20,12,13,16,2,1,0,0,1,1,3,1,8,1,1,0,0,0,0,0.153846153,"Orlando Salinas Jr.","sa3041444",
"Tanner Snow","JVST",,14,26,31,4,4,0,0,0,2,2,4,6,0,0,1,0,1,0,0.153846153,"Tanner Snow","sa3042682",
"Kyler Stancato","WSU",19,13,13,14,2,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0.153846153,"Kyler Stancato","sa3042924",
