Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Marcus Van Alstine","ODU",21,0,0,6.74999979883433,1,0,0,0,0,1.1,9,3,1,1,0,1,0,0,0,2,"Marcus Van Alstine","sa3044315",
"David Whittle","UCR",22,0,0,4.5,3,0,0,0,0,2,12,1,1,1,0,4,1,0,0,2,"David Whittle","sa3045154",
"Luke Wiltrakis","UGA",21,0,0,12,5,0,0,0,0,3,16,0,4,4,0,7,0,2,0,2,"Luke Wiltrakis","sa3045426",
"Mac Yarbrough","NORF",22,0,1,36,2,1,0,0,0,1,11,2,4,4,0,6,0,1,0,2,"Mac Yarbrough","sa3045682",
"Jackson Bellhorn","UNF",20,0,0,11.25,4,0,0,0,0,4,27,8,9,5,1,7,0,1,0,2,"Jackson Bellhorn","sa3058611",
"Jack Berg","HAW",22,0,0,0,4,0,0,0,0,7,28,2,0,0,0,5,1,1,0,2,"Jack Berg","sa3058625",
"Jake Chadwell","LONG",,0,1,20.64705940266383,6,1,0,0,0,5.2,40,13,14,13,1,6,5,1,0,2,"Jake Chadwell","sa3058846",
"Camden Clewett","BAY",20,0,0,17.35714344832364,5,0,0,0,0,4.2,32,13,9,9,2,5,1,4,0,2,"Camden Clewett","sa3058884",
"Carter Danz","NU",20,0,0,16.200000386238106,2,0,0,0,0,1.2,11,3,3,3,1,1,1,0,0,2,"Carter Danz","sa3058988",
"Luke Dellentash","STO",,0,0,7.043478406895314,7,0,0,0,0,7.2,37,8,7,6,0,8,0,1,0,2,"Luke Dellentash","sa3059031",
"Collin Dennis","TXSO",20,0,2,10.046511850723263,5,4,0,0,0,14.1,82,20,21,16,2,17,5,2,0,2,"Collin Dennis","sa3059036",
"Dakota Gray","UTU",21,0,0,26.99999919533732,4,0,0,0,0,2.2,23,12,8,8,1,2,1,2,0,2,"Dakota Gray","sa3059340",
"Mekai Griffin","NCAT",21,0,0,9,2,0,0,0,0,2,10,2,2,2,0,1,1,0,0,2,"Mekai Griffin","sa3059362",
"Boston Halloran","OAK",,0,0,8.30769200296798,4,0,0,0,0,4.1,24,7,4,4,0,3,1,0,0,2,"Boston Halloran","sa3059394",
"Jay Kennedy","USI",22,0,0,0,3,0,0,0,0,1.2,11,0,0,0,0,3,3,1,0,2,"Jay Kennedy","sa3059664",
"Marshall Loch","ME",,0,0,14.086956813790628,8,0,0,0,0,7.2,40,9,12,12,1,9,1,2,0,2,"Marshall Loch","sa3059831",
"Luke Lorence","CARK",,0,1,17.35714344832364,7,0,0,0,0,4.2,33,12,11,9,0,4,2,2,0,2,"Luke Lorence","sa3059851",
"Nolan McKinstry","KENN",19,0,0,13.5,2,0,0,0,0,2,11,3,3,3,1,3,0,0,0,2,"Nolan McKinstry","sa3059989",
"Carter Payne","PRES",,0,0,16.874999497085824,4,0,0,0,0,2.2,14,6,5,5,1,2,0,2,0,2,"Carter Payne","sa3060223",
"Cooper Reese","NMSU",20,0,1,26.99999941479077,4,0,0,0,0,3.2,28,7,13,11,2,9,0,0,0,2,"Cooper Reese","sa3060346",
"Park Roeder","MVSU",,0,1,18,6,0,0,0,0,5,34,11,11,10,0,8,1,2,0,2,"Park Roeder","sa3060409",
"Jaxson Ross","SBU",,0,1,38.571429885163646,5,0,0,0,0,2.1,24,7,11,10,0,7,2,4,0,2,"Jaxson Ross","sa3060428",
